Título,Resumen,Calificación,Cook Time,Servings,Ingredientes
Roasted Butternut Squash and Garlic Lasagna Recipe,A dear aunt gave me this roasted butternut squash and garlic lasagna recipe. I have made it many times. It is easy to make parts of it in advance to save time.,4.5,1 hr 40 mins,12,"[{'cantidad': '3', 'unidad': 'pounds', 'nombre': 'butternut squash, halved and seeded'}, {'cantidad': '3', 'unidad': 'tablespoons', 'nombre': 'vegetable oil'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'unsalted butter'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'minced garlic'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'quart', 'nombre': 'milk'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and ground black pepper to taste'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'heavy cream'}, {'cantidad': '9', 'unidad': '', 'nombre': 'no-cook lasagna noodles'}, {'cantidad': '1 ⅓', 'unidad': 'cups', 'nombre': 'finely grated Parmesan cheese'}]"
Southwest-Style Meatloaf Recipe,"Southwest-style meatloaf with salsa, barbecue sauce, and ketchup. This recipe won a meatloaf contest at our community hospital, and now it's the meatloaf our patients receive!",4.6,1 hr,6,"[{'cantidad': '1 ½', 'unidad': 'pounds', 'nombre': 'ground beef'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'chopped onion'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'Italian bread crumbs'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'salsa'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'ketchup'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'barbecue sauce'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'celery salt'}]"
Cheesy Zucchini Casserole Recipe,"This zucchini casserole with bread cubes, onion, and Cheddar is simple and easy to make for a deliciously cheesy vegetable side dish.",4.7,1 hr,4,"[{'cantidad': '4', 'unidad': 'slices', 'nombre': 'bread, cubed'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'melted butter'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'cubed zucchini'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'onion, finely chopped'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg, beaten'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'garlic salt or to taste'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'shredded Cheddar cheese'}]"
Aloha Chicken Burgers Recipe,These tasty Hawaiian chicken burgers are like a luau on a bun!,4.6,25 mins,2,"[{'cantidad': '2', 'unidad': '', 'nombre': 'skinless, boneless chicken breast halves'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'soy sauce'}, {'cantidad': '3', 'unidad': 'slices', 'nombre': 'thick cut bacon'}, {'cantidad': '2', 'unidad': '', 'nombre': 'large hamburger buns, split'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'softened butter'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'teriyaki sauce'}, {'cantidad': '2', 'unidad': 'slices', 'nombre': 'Swiss cheese'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'mayonnaise'}, {'cantidad': '2', 'unidad': 'slices', 'nombre': 'pineapple'}, {'cantidad': '2', 'unidad': 'slices', 'nombre': 'tomato'}, {'cantidad': '2', 'unidad': '', 'nombre': 'slices of iceberg lettuce'}]"
Baked Beer Can Chicken Recipe,Beer can chicken in the oven is so easy to prepare and cook. It always turns out juicy and tender with a delicious flavor. If you are tired of the same old boring chicken — try this recipe! It's a dinner our whole family loves.,4.6,1 hr 15 mins,4,"[{'cantidad': '¼', 'unidad': 'cup', 'nombre': 'garlic powder'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'seasoned salt'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'onion powder'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'dried oregano'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'salt'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'ground black pepper'}, {'cantidad': '1', 'unidad': '(12 fluid ounce) can', 'nombre': 'light-flavored beer (such as Bud Light)'}, {'cantidad': '1', 'unidad': '(3 pound)', 'nombre': 'whole chicken'}, {'cantidad': '4', 'unidad': '', 'nombre': 'green onions, sliced'}, {'cantidad': '4', 'unidad': '', 'nombre': 'green onions, cut in half crosswise'}, {'cantidad': '1', 'unidad': '(12 fluid ounce) can', 'nombre': 'light-flavored beer (such as Bud Light)'}]"
Summer Sweet Smoothies Recipe,Packed full of sweet summer fruity goodness. Great for a breakfast or lunch when you're on the go.,4.8,Sin tiempo de cocción,4,"[{'cantidad': '2', 'unidad': 'cups', 'nombre': 'cranberry juice'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'strawberries'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'blueberries'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'watermelon chunks'}, {'cantidad': '1', 'unidad': '', 'nombre': 'banana'}, {'cantidad': '2', 'unidad': '', 'nombre': 'fresh figs'}]"
Chicken Quesadillas Recipe,"This chicken quesadilla recipe is great to make for parties. Zesty chicken, cooked peppers, and melted cheese are a delightful combination. Cut into wedges and serve with sour cream and salsa.",4.6,25 mins,10,"[{'cantidad': '1', 'unidad': 'pound', 'nombre': 'skinless, boneless chicken breast, diced'}, {'cantidad': '1', 'unidad': '(1.27 ounce) packet', 'nombre': 'fajita seasoning'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'vegetable oil'}, {'cantidad': '2', 'unidad': '', 'nombre': 'green bell peppers, chopped'}, {'cantidad': '2', 'unidad': '', 'nombre': 'red bell peppers, chopped'}, {'cantidad': '1', 'unidad': '', 'nombre': 'onion, chopped'}, {'cantidad': '10', 'unidad': '(10 inch)', 'nombre': 'flour tortillas'}, {'cantidad': '1', 'unidad': '(8 ounce) package', 'nombre': 'shredded Cheddar cheese'}, {'cantidad': '1', 'unidad': '(8 ounce) package', 'nombre': 'shredded Monterey Jack cheese'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'bacon bits'}]"
Turkey Veggie Meatloaf Cups Recipe,"This recipe for meatloaf cups is super delicious and incredibly easy. It has become one of my absolute favorites. I pass it on to everyone I know, and they all rave about it too!",4.3,25 mins,10,"[{'cantidad': '', 'unidad': '', 'nombre': 'cooking spray'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'coarsely chopped zucchini'}, {'cantidad': '1 ½', 'unidad': 'cups', 'nombre': 'coarsely chopped onions'}, {'cantidad': '1', 'unidad': '', 'nombre': 'red bell pepper, coarsely chopped'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'extra lean ground turkey'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'uncooked couscous'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'Worcestershire sauce'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'Dijon mustard'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'barbecue sauce, or as needed'}]"
Caramel Macchiato Banana Bread Recipe,This caramel macchiato banana bread features a coffee-infused loaf and a rich caramel glaze. Baking banana bread is one of my favorite things to do. I love nothing more than enjoying a slice with a nice cup of coffee — that’s what inspired this recipe!,4.3,1 hr,10,"[{'cantidad': '', 'unidad': '', 'nombre': 'cooking spray'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking powder'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'ground cinnamon'}, {'cantidad': '⅛', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '2', 'unidad': 'large', 'nombre': 'very ripe bananas'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'caramel macchiato-flavored liquid coffee creamer (such as International Delight)'}, {'cantidad': '⅔', 'unidad': 'cup', 'nombre': 'white sugar'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'vegetable oil'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'instant coffee granules'}, {'cantidad': '6', 'unidad': 'tablespoons', 'nombre': 'unsalted butter'}, {'cantidad': '6', 'unidad': 'tablespoons', 'nombre': 'packed brown sugar'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'vanilla extract'}]"
Homemade Chicken Gravy Recipe,This chicken gravy made with high-quality chicken stock and heavy cream starts with a basic blonde roux. Skip the powdered packets of gravy mix and make homemade chicken gravy from scratch. Serve over fried chicken and mashed potatoes.,4.7,25 mins,8,"[{'cantidad': '½', 'unidad': 'cup', 'nombre': 'unsalted butter'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'quart', 'nombre': 'cold chicken stock, or more if needed'}, {'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'heavy cream'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and ground white pepper to taste'}, {'cantidad': '1', 'unidad': 'pinch', 'nombre': 'cayenne pepper'}]"
Classic Meatloaf Recipe,"This traditional meatloaf recipe made with sautéed vegetables, spices, and bread crumbs is moist and flavorful and topped with an old-fashioned glaze. Cook time will depend on the size and shape of your loaf, as well as the type of baking pan you use. Serve this hearty meal on cool fall or winter evenings with mashed potatoes and a simple mushroom gravy.",4.6,1 hr,10,"[{'cantidad': '1', 'unidad': 'medium', 'nombre': 'carrot, coarsely chopped'}, {'cantidad': '1', 'unidad': 'rib', 'nombre': 'celery, coarsely chopped'}, {'cantidad': '½', 'unidad': 'medium', 'nombre': 'onion, coarsely chopped'}, {'cantidad': '½', 'unidad': 'medium', 'nombre': 'red bell pepper, coarsely chopped'}, {'cantidad': '4', 'unidad': '', 'nombre': 'white mushrooms, coarsely chopped'}, {'cantidad': '3', 'unidad': 'cloves', 'nombre': 'garlic, coarsely chopped'}, {'cantidad': '2 ½', 'unidad': 'pounds', 'nombre': 'ground chuck'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'Worcestershire sauce'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg, beaten'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'dried Italian herbs'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'salt'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'ground black pepper'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'cayenne pepper'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'plain bread crumbs'}]"
Creamy Mushroom Meatloaf Recipe,"This technique keeps the meatloaf moist, while fortifying the sauce with its flavorful drippings. Regardless, this technique will work with just about any meatloaf recipe out there.",4.7,2 hrs,8,"[{'cantidad': '¼', 'unidad': 'cup', 'nombre': 'butter'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'shiitake mushrooms, sliced'}, {'cantidad': '1', 'unidad': 'pinch', 'nombre': 'salt'}, {'cantidad': '1', 'unidad': 'sprig', 'nombre': 'fresh rosemary, chopped'}, {'cantidad': '3', 'unidad': 'tablespoons', 'nombre': 'all-purpose flour'}, {'cantidad': '2 ½', 'unidad': 'cups', 'nombre': 'beef broth'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and pepper to taste'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'heavy cream'}, {'cantidad': '1', 'unidad': '(2 1/2 pound)', 'nombre': 'uncooked prepared beef, veal and pork meatloaf'}]"
Chef John's Buttermilk Fried Chicken Recipe,"Buttermilk fried chicken that's incredibly tender, thanks to tangy buttermilk. After the buttermilk soak, dredge the chicken pieces in seasoned flour and fry them in hot oil until crisp and golden.",4.5,25 mins,4,"[{'cantidad': '1', 'unidad': '(3 1/2) pound', 'nombre': 'chicken, cut into 8 pieces'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'black pepper'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'paprika'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'white pepper'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'dried rosemary'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'ground thyme'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'dried oregano'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'dried sage'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'cayenne pepper'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'buttermilk'}]"
Peanut Butter Chocolate Chip Banana Bread Recipe,"My kids love this peanut butter chocolate chip bread for Easter morning breakfast, or a fancy brunch. The recipe is versatile—make it as plain banana bread, peanut butter banana bread, or chocolate chip banana bread. A perfect Easter treat!",4.8,40 mins,12,"[{'cantidad': '', 'unidad': '', 'nombre': 'cooking spray'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'whole wheat flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking powder'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '2', 'unidad': '', 'nombre': 'ripe bananas, mashed'}, {'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'unsweetened crunchy peanut butter'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'brown sugar'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'plain fat-free yogurt'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'canola oil'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'semisweet chocolate chips'}]"
Peanut Butter Banana Smoothie Recipe,"This peanut butter banana smoothie is so refreshing, and it's sweet and tasty.",4.7,Sin tiempo de cocción,4,"[{'cantidad': '2', 'unidad': '', 'nombre': 'bananas, broken into chunks'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'milk'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'peanut butter'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'honey, or to taste'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'ice cubes'}]"
Healthier Banana Banana Bread Recipe,This recipe was really yummy to start with but I was looking for something a little healthier so I replaced some butter with nonfat yogurt and I eliminated the salt. This healthier banana banana bread is super moist and tastes great.,4.5,1 hr 5 mins,12,"[{'cantidad': '2', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'brown sugar'}, {'cantidad': '¼', 'unidad': 'cup unsalted', 'nombre': 'butter'}, {'cantidad': '⅛', 'unidad': 'cup', 'nombre': 'nonfat plain yogurt'}, {'cantidad': '2', 'unidad': '', 'nombre': 'eggs, room temperature and beaten'}, {'cantidad': '2 ⅓', 'unidad': 'cups', 'nombre': 'mashed overripe bananas'}]"
Melt-In-Your-Mouth Meatloaf Recipe,"This slow cooker meatloaf recipe is simple and foolproof! With a sweet, sticky glaze brushed on during the last 15 minutes, every bite of this comfort-food classic is moist, juicy, and full of flavor. Throw it together at lunch, pop it in the slow cooker, and by dinner, the aroma will get your family to the table.",4.6,5 hrs 15 mins,6,"[{'cantidad': '¾', 'unidad': 'cup', 'nombre': 'milk'}, {'cantidad': '⅔', 'unidad': 'cup', 'nombre': 'seasoned bread crumbs'}, {'cantidad': '2', 'unidad': 'large', 'nombre': 'eggs'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'dried minced onion'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'rubbed sage'}, {'cantidad': '1 ½', 'unidad': 'pounds', 'nombre': 'ground beef'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'sliced fresh mushrooms'}]"
Chicken Stir Fry Recipe,"This chicken stir fry recipe is packed with veggies and a delicious sweet and savory soy, ginger, and garlic sauce that gets a kick from chili flakes. Serve with white or brown rice for a quick and easy weeknight dinner.",4.7,20 mins,6,"[{'cantidad': '4', 'unidad': 'cups', 'nombre': 'water'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'white rice'}, {'cantidad': '⅔', 'unidad': 'cup', 'nombre': 'low-sodium soy sauce, or to taste'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'brown sugar'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'cornstarch'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'minced fresh ginger'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'minced garlic'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'red chili flakes'}, {'cantidad': '3', 'unidad': '', 'nombre': 'skinless, boneless chicken breast halves, thinly sliced'}, {'cantidad': '2', 'unidad': 'tablespoons', 'nombre': 'sesame oil, divided'}, {'cantidad': '1', 'unidad': 'head', 'nombre': 'broccoli, broken into florets'}, {'cantidad': '1', 'unidad': '', 'nombre': 'onion, cut into large chunks'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'sliced carrots'}, {'cantidad': '1', 'unidad': '(8 ounce) can', 'nombre': 'sliced water chestnuts, drained'}, {'cantidad': '1', 'unidad': '', 'nombre': 'green bell pepper, cut into matchsticks'}]"
Chicken Enchiladas with Cream of Chicken Soup Recipe,"For this chicken enchilada recipe with cream of chicken soup, spicy chicken and chile peppers are rolled up in flour tortillas and baked with Cheddar cheese on top. This is an easy, comforting dish that you will love.",4.6,30 mins,8,"[{'cantidad': '1', 'unidad': '(10.5 ounce) can', 'nombre': 'condensed cream of chicken soup'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'sour cream'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'margarine'}, {'cantidad': '1', 'unidad': '', 'nombre': 'onion, chopped'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'chili powder'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'chopped cooked chicken breast'}, {'cantidad': '1', 'unidad': '(4 ounce) can', 'nombre': 'chopped green chile peppers, drained'}, {'cantidad': '8', 'unidad': '', 'nombre': '(8 inch) flour tortillas'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'shredded Cheddar cheese'}]"
All-Fruit Smoothies Recipe,"Quick, easy smoothies made entirely with fruit!",4.8,Sin tiempo de cocción,2,"[{'cantidad': '1', 'unidad': 'cup', 'nombre': 'pineapple juice'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'banana, cut into chunks'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'frozen strawberries'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'frozen blueberries'}]"
Blueberry Banana Bread Recipe,"This blueberry banana bread is delicious for breakfast, brunch, or an afternoon snack. This recipe makes three mini loaves. The bread is so flavorful you won't need butter!",4.8,30 mins,15,"[{'cantidad': '2', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'white sugar'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'butter, softened'}, {'cantidad': '2', 'unidad': 'large', 'nombre': 'eggs'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'vanilla extract'}, {'cantidad': '2', 'unidad': '', 'nombre': 'ripe bananas, mashed'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'fresh blueberries'}]"
Mexican Lasagna - No Lasagna Noodles! Recipe,"This is a traditional dish in my family. Anyone can make it really. It is composed of traditional Mexican ingredients layered over the top of one another in a lasagna-like fashion (hence the name) but has little similarity to lasagna, so lasagna haters have no fear!",4.6,40 mins,16,"[{'cantidad': '1 ½', 'unidad': 'pounds', 'nombre': 'ground beef'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'water'}, {'cantidad': '1', 'unidad': '(1 ounce) packet', 'nombre': 'taco seasoning mix'}, {'cantidad': '12', 'unidad': '(8 inch)', 'nombre': 'flour tortillas, or more if needed'}, {'cantidad': '1', 'unidad': '(14 ounce) can', 'nombre': 'refried beans'}, {'cantidad': '3', 'unidad': 'cups', 'nombre': 'shredded Colby-Jack cheese'}, {'cantidad': '1', 'unidad': '(8 ounce) jar', 'nombre': 'taco sauce'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'shredded Colby-Jack cheese'}]"
Sour Cream Banana Bread Recipe,"This bread is a family favorite. It is very moist, freezes well, and makes a great addition to school lunches with peanut butter spread on a slice.",4.6,1 hr 15 mins,12,"[{'cantidad': '4', 'unidad': '', 'nombre': 'very ripe bananas, divided'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'white sugar'}, {'cantidad': '¾', 'unidad': 'cup', 'nombre': 'butter, melted and cooled'}, {'cantidad': '2', 'unidad': '', 'nombre': 'large eggs'}, {'cantidad': '⅓', 'unidad': 'cup', 'nombre': 'sour cream'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'vanilla extract'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1 ½', 'unidad': 'teaspoons', 'nombre': 'baking powder'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'chopped walnuts (Optional)'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'white sugar'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'ground cinnamon'}]"
Easy Vegetarian Spinach Lasagna,"Satisfying layers of stretchy melted mozzarella, creamy ricotta, and spinach combine with sauce-coated lasagna noodles for the ultimate comfort food.",4.6,1 hr,6,"[{'cantidad': '', 'unidad': '', 'nombre': 'cooking spray'}, {'cantidad': '', 'unidad': '', 'nombre': 'salt and ground black pepper to taste'}, {'cantidad': '1', 'unidad': 'bunch', 'nombre': 'fresh spinach'}, {'cantidad': '9', 'unidad': '', 'nombre': 'lasagna noodles'}, {'cantidad': '1', 'unidad': '(8 ounce) container', 'nombre': 'ricotta cheese'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'shredded mozzarella cheese, divided'}, {'cantidad': '1', 'unidad': 'large', 'nombre': 'egg, lightly beaten'}, {'cantidad': '1', 'unidad': 'pinch', 'nombre': 'ground nutmeg'}, {'cantidad': '1', 'unidad': 'pinch', 'nombre': 'dried basil'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'pasta sauce'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'grated Parmesan cheese'}]"
Banana Chocolate Chip Bread Recipe,This chocolate chip banana bread is super moist and tastes amazing!,4.8,1 hr 10 mins,10,"[{'cantidad': '2', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking powder'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '3', 'unidad': '', 'nombre': 'ripe bananas, mashed'}, {'cantidad': '1', 'unidad': 'tablespoon', 'nombre': 'milk'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'ground cinnamon, or to taste'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'white sugar'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'butter, softened'}, {'cantidad': '2', 'unidad': 'large', 'nombre': 'eggs'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'semisweet chocolate chips'}]"
Italian Style Turkey Meatloaf Recipe,"Healthy, low-fat version of a favorite with an Italian flair.",4.6,50 mins,6,"[{'cantidad': '', 'unidad': '', 'nombre': 'cooking spray'}, {'cantidad': '1', 'unidad': 'pound', 'nombre': 'ground turkey'}, {'cantidad': '1', 'unidad': '', 'nombre': 'egg'}, {'cantidad': '¼', 'unidad': 'cup', 'nombre': 'Italian seasoned bread crumbs'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'Italian seasoning'}, {'cantidad': '½', 'unidad': 'clove', 'nombre': 'garlic, minced'}, {'cantidad': '½', 'unidad': 'teaspoon', 'nombre': 'ground black pepper, or to taste'}, {'cantidad': '¼', 'unidad': 'teaspoon', 'nombre': 'salt, or to taste'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'tomato sauce, divided'}]"
Banana Bread Bars with Brown Butter Frosting Recipe,These banana bread bars with brown butter icing are moist and flavorful.,4.8,30 mins,12,"[{'cantidad': '1 ½', 'unidad': 'cups', 'nombre': 'white sugar'}, {'cantidad': '1', 'unidad': 'cup', 'nombre': 'sour cream'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'butter, softened'}, {'cantidad': '2', 'unidad': 'large', 'nombre': 'eggs'}, {'cantidad': '1 ¾', 'unidad': 'cups', 'nombre': 'mashed ripe bananas'}, {'cantidad': '2', 'unidad': 'teaspoons', 'nombre': 'vanilla extract'}, {'cantidad': '2', 'unidad': 'cups', 'nombre': 'all-purpose flour'}, {'cantidad': '1', 'unidad': 'teaspoon', 'nombre': 'baking soda'}, {'cantidad': '¾', 'unidad': 'teaspoon', 'nombre': 'salt'}, {'cantidad': '½', 'unidad': 'cup', 'nombre': 'chopped walnuts (Optional)'}]"
